accused_id,fir_id,criminal_id,name_en,name_kn,age,gender,address,is_known,is_arrested,role
ACC-FIR-BLR2-2021-00001-000,FIR-BLR2-2021-00001,CRM-0000242,Tejas Shastri,ಯೋಗೇಶ್ ನಾಯ್ಕ್,47,M,,false,true,principal
ACC-FIR-RBG-2021-00001-000,FIR-RBG-2021-00001,CRM-0000053,Manjunath Prabhu,ಗೌರವ್ ಶಾಸ್ತ್ರಿ,29,M,,true,false,principal
ACC-FIR-KDG-2021-00001-000,FIR-KDG-2021-00001,,Srikanth Hegde,ಅಜ್ಞಾತ,,M,,false,false,principal
ACC-FIR-HBL-2021-00001-000,FIR-HBL-2021-00001,CRM-0000104,Umesh Reddy,ರಾಮೇಶ್ ಪ್ರಭು,33,M,,true,true,principal
ACC-FIR-KLP-2021-00001-000,FIR-KLP-2021-00001,CRM-0000147,Ramesh Nayak,ಹರ್ಷ ಕುಮಾರ್,62,M,,true,true,principal
ACC-FIR-RBG-2021-00002-000,FIR-RBG-2021-00002,CRM-0000120,Mohan Krishnamurthy,ರೋಹಿತ್ ರೆಡ್ಡಿ,30,M,,true,false,principal
ACC-FIR-BLR-2021-00001-000,FIR-BLR-2021-00001,CRM-0000168,Kiran Gowda,ಆಕಾಶ್ ಕಾಮತ್,20,M,,true,true,principal
ACC-FIR-BLG-2021-00001-000,FIR-BLG-2021-00001,CRM-0000191,Vinay Adiga,ಮೋಹನ್ ಪಾಟೀಲ್,47,M,,false,true,principal
ACC-FIR-BLR-2021-00002-000,FIR-BLR-2021-00002,CRM-0000155,Anita Shastri,ಲಕ್ಷ್ಮಿ ರೆಡ್ಡಿ,17,F,,true,false,principal
ACC-FIR-HBL-2021-00002-000,FIR-HBL-2021-00002,CRM-0000111,Swathi Reddy,ಶಾಂತಾ ಶಾಸ್ತ್ರಿ,49,F,,true,false,principal
ACC-FIR-HBL-2021-00002-001,FIR-HBL-2021-00002,CRM-0000180,Sneha Reddy,ಪೂಜಾ ಗೌಡ,20,F,,false,false,accomplice
ACC-FIR-KLP-2021-00002-000,FIR-KLP-2021-00002,,Sandeep Pillai,ಅಜ್ಞಾತ,,M,,false,false,principal
ACC-FIR-MGL-2021-00001-000,FIR-MGL-2021-00001,CRM-0000167,Deepa Desai,ಜ್ಯೋತಿ ತಂತ್ರಿ,71,F,,false,false,principal
ACC-FIR-MGL-2021-00001-001,FIR-MGL-2021-00001,CRM-0000074,Rohit Sharma,ತೇಜಸ್ ಅಯ್ಯರ್,65,M,,true,false,accomplice
ACC-FIR-MGL-2021-00001-002,FIR-MGL-2021-00001,CRM-0000127,Bharathi Gowda,ನಿತ್ಯಾ ಶಾಸ್ತ್ರಿ,59,F,,true,false,accomplice
ACC-FIR-MGL-2021-00001-003,FIR-MGL-2021-00001,CRM-0000234,Deepa Desai,ಲಕ್ಷ್ಮಿ ಮೂರ್ತಿ,39,F,,true,false,accomplice
ACC-FIR-CHB-2021-00001-000,FIR-CHB-2021-00001,,Lakshmi Desai,ಅಜ್ಞಾತ,,F,,false,false,principal
ACC-FIR-BLR2-2021-00002-000,FIR-BLR2-2021-00002,CRM-0000193,Sandeep Sharma,ಉಮೇಶ್ ಲಿಂಗಾಯತ್,31,M,,true,true,principal
ACC-FIR-UDR-2021-00001-000,FIR-UDR-2021-00001,CRM-0000101,Geetha Reddy,ಕವಿತಾ ಲಿಂಗಾಯತ್,17,F,,false,false,principal
ACC-FIR-UDR-2021-00001-001,FIR-UDR-2021-00001,CRM-0000074,Rohit Sharma,ತೇಜಸ್ ಅಯ್ಯರ್,65,M,,true,false,accomplice
ACC-FIR-BLR-2021-00003-000,FIR-BLR-2021-00003,,Suma Joshi,ಅಜ್ಞಾತ,,F,,false,false,principal
ACC-FIR-BLR2-2021-00003-000,FIR-BLR2-2021-00003,CRM-0000062,Vinay Udupi,ಅಭಿಷೇಕ್ ಶೆಟ್ಟಿ,72,M,,false,false,principal
ACC-FIR-BLR-2021-00004-000,FIR-BLR-2021-00004,CRM-0000012,Jyothi Sharma,ಮಧು ಜೋಶಿ,66,F,,false,false,principal
ACC-FIR-DVG-2021-00001-000,FIR-DVG-2021-00001,CRM-0000235,Nagaraj Lingayat,ಸತೀಶ್ ಮೂರ್ತಿ,69,M,,true,true,principal
ACC-FIR-BLR-2021-00005-000,FIR-BLR-2021-00005,CRM-0000182,Satish Nayak,ವಿಕ್ರಮ್ ಉಡುಪ,58,M,,true,false,principal
ACC-FIR-CHB-2021-00002-000,FIR-CHB-2021-00002,,Sangeetha Raju,ಅಜ್ಞಾತ,,F,,false,false,principal
ACC-FIR-KLP-2021-00003-000,FIR-KLP-2021-00003,,Anjali Kumar,ಅಜ್ಞಾತ,,F,,false,false,principal
ACC-FIR-BLR-2021-00006-000,FIR-BLR-2021-00006,CRM-0000209,Manjunath Kumar,ಸತೀಶ್ ಹೆಗಡೆ,30,M,,true,false,principal
ACC-FIR-RBG-2021-00003-000,FIR-RBG-2021-00003,CRM-0000069,Meera Pillai,ಅನಿತಾ ಶೆಟ್ಟಿ,60,F,,false,true,principal
ACC-FIR-DVG-2021-00002-000,FIR-DVG-2021-00002,CRM-0000235,Nagaraj Lingayat,ಸತೀಶ್ ಮೂರ್ತಿ,69,M,,false,false,principal
ACC-FIR-BLG-2021-00002-000,FIR-BLG-2021-00002,CRM-0000143,Gaurav Reddy,ಅರ್ಜುನ್ ಶಾಸ್ತ್ರಿ,41,M,,false,false,principal
ACC-FIR-MGL-2021-00002-000,FIR-MGL-2021-00002,CRM-0000099,Tejas Rao,ಸತೀಶ್ ತಂತ್ರಿ,55,M,,true,false,principal
ACC-FIR-MGL-2021-00003-000,FIR-MGL-2021-00003,,Nitya Prabhu,ಅಜ್ಞಾತ,,F,,false,false,principal
ACC-FIR-HBL-2021-00003-000,FIR-HBL-2021-00003,CRM-0000019,Kavitha Bhat,ಭಾರತಿ ಲಿಂಗಾಯತ್,62,F,,false,true,principal
ACC-FIR-BLR-2021-00007-000,FIR-BLR-2021-00007,,Harsh Shastri,ಅಜ್ಞಾತ,,M,,false,false,principal
ACC-FIR-RBG-2021-00004-000,FIR-RBG-2021-00004,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,true,true,principal
ACC-FIR-HBL-2021-00004-000,FIR-HBL-2021-00004,CRM-0000046,Rajesh Hegde,ಗೌರವ್ ಹೆಗಡೆ,37,M,,false,false,principal
ACC-FIR-BLG-2021-00003-000,FIR-BLG-2021-00003,CRM-0000093,Seeta Vokkaliga,ರೇಖಾ ಕುಮಾರ್,17,F,,false,true,principal
ACC-FIR-BLG-2021-00003-001,FIR-BLG-2021-00003,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,true,false,accomplice
ACC-FIR-DVG-2021-00003-000,FIR-DVG-2021-00003,CRM-0000235,Nagaraj Lingayat,ಸತೀಶ್ ಮೂರ್ತಿ,69,M,,true,false,principal
ACC-FIR-RBG-2021-00005-000,FIR-RBG-2021-00005,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,true,false,principal
ACC-FIR-BLR-2021-00008-000,FIR-BLR-2021-00008,CRM-0000229,Ramesh Adiga,ಅಭಿಷೇಕ್ ಲಿಂಗಾಯತ್,39,M,,true,false,principal
ACC-FIR-DVG-2021-00004-000,FIR-DVG-2021-00004,CRM-0000235,Nagaraj Lingayat,ಸತೀಶ್ ಮೂರ್ತಿ,69,M,,false,false,principal
ACC-FIR-RBG-2021-00006-000,FIR-RBG-2021-00006,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,true,false,principal
ACC-FIR-BLR2-2021-00004-000,FIR-BLR2-2021-00004,CRM-0000072,Prashanth Aras,ವಿಕ್ರಮ್ ಲಿಂಗಾಯತ್,66,M,,false,false,principal
ACC-FIR-RBG-2021-00007-000,FIR-RBG-2021-00007,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,true,false,principal
ACC-FIR-BLR2-2021-00005-000,FIR-BLR2-2021-00005,CRM-0000103,Anita Verma,ಪೂಜಾ ಕೃಷ್ಣಮೂರ್ತಿ,67,F,,true,true,principal
ACC-FIR-BLR2-2021-00005-001,FIR-BLR2-2021-00005,CRM-0000213,Rekha Adiga,ಮಧು ಅರಸ್,31,F,,true,false,accomplice
ACC-FIR-BLR2-2021-00005-002,FIR-BLR2-2021-00005,CRM-0000093,Seeta Vokkaliga,ರೇಖಾ ಕುಮಾರ್,17,F,,false,false,accomplice
ACC-FIR-BLR2-2021-00005-003,FIR-BLR2-2021-00005,CRM-0000079,Prakash Prabhu,ನಾಗರಾಜ್ ಹೆಗಡೆ,64,M,,true,false,accomplice
ACC-FIR-BLR2-2021-00005-004,FIR-BLR2-2021-00005,CRM-0000022,Nitya Naik,ಸರಿತಾ ತಂತ್ರಿ,24,F,,false,true,accomplice
