fir_id,event_id,fir_number,station_id,district_id,district_name,occurred_date,reported_date,crime_type,crime_category,ipc_sections,severity,status,description_en,description_kn,latitude,longitude,complainant_name,complainant_phone,complainant_address,estimated_loss_inr,num_accused,num_victims,num_witnesses,is_gang_crime,season,accomplice_criminal_ids,vehicle_ids,phone_ids,campaign_id,nearest_poi_id,investigating_officer_id,sho_officer_id,gang_id,festival_context,primary_criminal_id
FIR-BLR2-2021-00001,EVT-00000000-20210101,KA/BLR2/2021/00001,STN-KA-BLR2-0016,KA-BLR2,Ballari,2021-01-01,2021-01-04,THEFT,property,379,2,Under Investigation,"The complainant reported that the accused stole gold jewellery valued at Rs. 41,042 from street on the above date.","ದೂರುದಾರರು ವರದಿ ಮಾಡಿದ ಪ್ರಕಾರ ಆರೋಪಿಯು street ದಿಂದ ರೂ. 41,042 ಮೌಲ್ಯದ two-wheeler ಕದ್ದಿದ್ದಾನೆ.",14.84016,76.704231,Prashanth Adiga,8074336190,Karnataka - 561610,41042.62,1,3,0,false,winter,,,PHN-00001594,,POI-003605,,,,,CRM-0000242
FIR-RBG-2021-00001,EVT-00000001-20210101,KA/RBG/2021/00001,STN-KA-RBG-0015,KA-RBG,Dharwad,2021-01-01,2021-01-02,VEH_THEFT,property,379,2,Closed (Undetected),Complainant's car bearing registration KA 16 BB 8229 was stolen from the complainant's house.,ದೂರುದಾರರ auto rickshaw (KA 39 AA 7504) ವಾಹನವು market area ನಿಂದ ಕಾಣೆಯಾಗಿದೆ.,15.502059,74.867482,Bharathi Murthy,7515012266,Karnataka - 596608,1228319.98,1,3,1,false,winter,,VEH-00000585,,,POI-003784,OFF-0003709,OFF-0003705,,,CRM-0000053
FIR-KDG-2021-00001,EVT-00000002-20210101,KA/KDG/2021/00001,STN-KA-KDG-0004,KA-KDG,Kodagu,2021-01-01,2021-01-06,VEH_THEFT,property,379|324|34,2,Under Investigation,motorcycle stolen from market area between 08:00 hrs and 14:00 hrs.,,12.251543890272771,75.86054617716606,Ravi Nambiar,8947836891,Karnataka - 590600,1289085.86,1,2,0,false,winter,,,,,POI-002284,,,,,
FIR-HBL-2021-00001,EVT-00000000-20210102,KA/HBL/2021/00001,STN-KA-HBL-0025,KA-HBL,Hubballi-Dharwad,2021-01-02,2021-01-02,PICK,property,379,1,Final Report,"The complainant reported that the accused stole gold jewellery valued at Rs. 7,475 from market area on the above date.","ದೂರುದಾರರು ವರದಿ ಮಾಡಿದ ಪ್ರಕಾರ ಆರೋಪಿಯು bus stand ದಿಂದ ರೂ. 7,475 ಮೌಲ್ಯದ mobile phone ಕದ್ದಿದ್ದಾನೆ.",15.074705,75.335455,Rohit Verma,7397666707,Karnataka - 580003,7475.17,1,2,1,false,winter,,VEH-00001580,,,POI-000996,OFF-0001231,OFF-0001231,,,CRM-0000104
FIR-KLP-2021-00001,EVT-00000001-20210102,KA/KLP/2021/00001,STN-KA-KLP-0020,KA-KLP,Kalaburagi,2021-01-02,2021-01-03,ASSAULT,violent,324,3,Under Investigation,The accused assaulted the complainant with none causing injuries near street.,ಆರೋಪಿಯು none ಬಳಸಿ ದೂರುದಾರರ ಮೇಲೆ bus stand ಬಳಿ ಹಲ್ಲೆ ಮಾಡಿದ್ದಾನೆ.,17.707723332412264,77.04009735860626,Meera Hegde,9676205675,Karnataka - 573820,26723.41,1,1,1,false,winter,,VEH-00000984,PHN-00002468,,POI-001262,OFF-0001605,OFF-0001597,,,CRM-0000147
FIR-RBG-2021-00002,EVT-00000002-20210102,KA/RBG/2021/00002,STN-KA-RBG-0019,KA-RBG,Dharwad,2021-01-02,2021-01-02,PICK,property,379,1,Under Investigation,The complainant reported that the accused stole two-wheeler valued at Rs. 299 from bus stand on the above date.,ಅಜ್ಞಾತ ವ್ಯಕ್ತಿ(ಗಳು) street ದಿಂದ two-wheeler ಕದ್ದಿದ್ದಾರೆ. 20:00 hours ಗಂಟೆಗೆ ಕಳ್ಳತನ ಗೊತ್ತಾಯಿತು.,15.519674,75.000707,Mohan Krishnamurthy,9194815807,Karnataka - 584394,299.81,1,3,0,false,winter,,,,,POI-003822,OFF-0003734,OFF-0003734,,,CRM-0000120
FIR-BLR-2021-00001,EVT-00000000-20210103,KA/BLR/2021/00001,STN-KA-BLR-0031,KA-BLR,Bengaluru Urban,2021-01-03,2021-01-04,CYBER,cyber,66C_IT,3,Under Investigation,"Complainant received fraudulent call/message and was cheated of Rs. 3,625,432 through online transfer.",,13.105719746146809,77.61062841185209,Sujatha Gowda,8136482564,Karnataka - 575036,3625432.38,1,1,0,false,winter,,,,,POI-000023,OFF-0000287,OFF-0000289,,,CRM-0000168
FIR-BLG-2021-00001,EVT-00000001-20210103,KA/BLG/2021/00001,STN-KA-BLG-0021,KA-BLG,Belagavi,2021-01-03,2021-01-05,TRESPASS,property,447|324|34,2,Charge Sheet Filed,Gold gold jewellery stolen from house while complainant was away. Total loss estimated at Rs. 40.,ಅಜ್ಞಾತ ವ್ಯಕ್ತಿ(ಗಳು) bus stand ದಿಂದ mobile phone ಕದ್ದಿದ್ದಾರೆ. 19:00 hours ಗಂಟೆಗೆ ಕಳ್ಳತನ ಗೊತ್ತಾಯಿತು.,15.862278,74.72296,Pooja Gowda,6461008405,Karnataka - 576195,40.18,1,2,0,true,winter,,,PHN-00004117,,POI-001034,OFF-0001399,OFF-0001389,GANG-0003,,CRM-0000191
FIR-BLR-2021-00002,EVT-00000002-20210103,KA/BLR/2021/00002,STN-KA-BLR-0053,KA-BLR,Bengaluru Urban,2021-01-03,2021-01-06,HIT_RUN,traffic,304A,4,Under Investigation,Unknown person(s) committed theft of two-wheeler from the complainant's house. Complainant noticed the theft at 22:00 hours.,ಅಜ್ಞಾತ ವ್ಯಕ್ತಿ(ಗಳು) street ದಿಂದ cash ಕದ್ದಿದ್ದಾರೆ. 21:00 hours ಗಂಟೆಗೆ ಕಳ್ಳತನ ಗೊತ್ತಾಯಿತು.,12.89404,77.616739,Vikram Ayyar,7943822194,Karnataka - 593229,92230.99,1,3,0,false,winter,,,,,POI-000259,,,,,CRM-0000155
FIR-HBL-2021-00002,EVT-00000000-20210104,KA/HBL/2021/00002,STN-KA-HBL-0028,KA-HBL,Hubballi-Dharwad,2021-01-04,2021-01-04,THEFT,property,379|324|34,2,Final Report,"Gold mobile phone stolen from house while complainant was away. Total loss estimated at Rs. 6,152.",,15.206845,75.117467,Nirmala Sharma,9064042660,Karnataka - 573901,6152.73,2,1,2,true,winter,CRM-0000180,VEH-00000842,,,POI-001008,,,GANG-0002,,CRM-0000111
FIR-KLP-2021-00002,EVT-00000001-20210104,KA/KLP/2021/00002,STN-KA-KLP-0025,KA-KLP,Kalaburagi,2021-01-04,2021-01-04,CHAIN,property,392|324|34,3,Withdrawn,"The complainant was traveling when 2 persons on motorcycle snatched gold chain worth Rs. 36,571.","ದೂರುದಾರರು ಸಂಚಾರ ಮಾಡುತ್ತಿದ್ದಾಗ 2 ವ್ಯಕ್ತಿಗಳು ಮೋಟಾರ್ ಸೈಕಲ್ ಮೇಲೆ ಬಂದು ರೂ. 36,571 ಮೌಲ್ಯದ ಚಿನ್ನದ ಸರ ಎಳೆದುಕೊಂಡು ಓಡಿದ್ದಾರೆ.",17.412594132493176,76.78249859302292,Rekha Thakur,7668951250,Karnataka - 593820,36571.72,1,1,1,false,winter,,,,,POI-001359,OFF-0001656,OFF-0001651,,,
FIR-MGL-2021-00001,EVT-00000002-20210104,KA/MGL/2021/00001,STN-KA-MGL-0013,KA-MGL,Dakshina Kannada,2021-01-04,2021-01-04,ATTEMPT_M,violent,307,5,Final Report,Unknown person(s) committed theft of mobile phone from shop. Complainant noticed the theft at 21:00 hours.,,12.624546,75.232829,Ajay Nambiar,6568067880,Karnataka - 596095,0.0,4,1,2,true,winter,CRM-0000074|CRM-0000127|CRM-0000234,,PHN-00000983,,POI-000746,OFF-0000928,OFF-0000928,GANG-0000,,CRM-0000167
