log_id,fir_id,event_type,timestamp,officer_id,description,latitude,longitude,location
ILOG-00000000,FIR-VKT-2021-00001,FIR_FILED,2021-01-01T09:00:00,,FIR KA/VKT/2021/00001 registered at STN-KA-VKT-0014,,,
ILOG-00000001,FIR-VKT-2021-00001,OFFICER_ASSIGNED,2021-01-02T08:00:00,OFF-0003276,Officer OFF-0003276 assigned as IO (Current Load: 0 cases),,,
ILOG-00000006,FIR-MYS-2021-00001,FIR_FILED,2021-01-02T10:00:00,OFF-0000762,FIR KA/MYS/2021/00001 registered at STN-KA-MYS-0019,,,
ILOG-00000009,FIR-MYS-2021-00002,FIR_FILED,2021-01-02T10:00:00,OFF-0000676,FIR KA/MYS/2021/00002 registered at STN-KA-MYS-0004,,,
ILOG-00000003,FIR-VKT-2021-00001,EVIDENCE_COLLECTED,2021-01-02T13:00:00,OFF-0003276,Evidence EVI-00000003 collected: Statement of eye witness recorded under Sec 161 CrPC,,,
ILOG-00000007,FIR-MYS-2021-00001,OFFICER_ASSIGNED,2021-01-02T14:00:00,OFF-0000762,Officer OFF-0000762 assigned as IO (Current Load: 0 cases),,,
ILOG-00000004,FIR-VKT-2021-00001,EVIDENCE_COLLECTED,2021-01-02T16:00:00,OFF-0003276,Evidence EVI-00000004 collected: Traffic camera footage of escape route,,,
ILOG-00000010,FIR-MYS-2021-00002,OFFICER_ASSIGNED,2021-01-02T19:00:00,OFF-0000677,Officer OFF-0000677 assigned as IO (Current Load: 0 cases),,,
ILOG-00000011,FIR-MYS-2021-00002,EVIDENCE_COLLECTED,2021-01-03T09:00:00,OFF-0000676,Evidence EVI-00000013 collected: CCTV footage from nearby bank ATM showing accused,,,
ILOG-00000013,FIR-BLR-2021-00001,FIR_FILED,2021-01-03T10:00:00,OFF-0000283,FIR KA/BLR/2021/00001 registered at STN-KA-BLR-0030,,,
ILOG-00000020,FIR-BLR-2021-00002,EVIDENCE_COLLECTED,2021-01-03T11:00:00,OFF-0000187,Evidence EVI-00000008 collected: Stolen cash recovered from accused,,,
ILOG-00000014,FIR-BLR-2021-00001,OFFICER_ASSIGNED,2021-01-03T15:00:00,OFF-0000284,Officer OFF-0000284 assigned as IO (Current Load: 0 cases),,,
ILOG-00000017,FIR-BLR-2021-00002,FIR_FILED,2021-01-03T16:00:00,OFF-0000190,FIR KA/BLR/2021/00002 registered at STN-KA-BLR-0019,,,
ILOG-00000033,FIR-HBL-2021-00001,FIR_FILED,2021-01-03T16:00:00,OFF-0001145,FIR KA/HBL/2021/00001 registered at STN-KA-HBL-0011,,,
ILOG-00000024,FIR-BLG-2021-00002,FIR_FILED,2021-01-03T17:00:00,OFF-0001289,FIR KA/BLG/2021/00002 registered at STN-KA-BLG-0004,,,
ILOG-00000018,FIR-BLR-2021-00002,OFFICER_ASSIGNED,2021-01-03T21:00:00,OFF-0000191,Officer OFF-0000191 assigned as IO (Current Load: 0 cases),,,
ILOG-00000034,FIR-HBL-2021-00001,OFFICER_ASSIGNED,2021-01-04T05:00:00,OFF-0001145,Officer OFF-0001145 assigned as IO (Current Load: 0 cases),,,
ILOG-00000025,FIR-BLG-2021-00002,OFFICER_ASSIGNED,2021-01-04T08:00:00,OFF-0001289,Officer OFF-0001289 assigned as IO (Current Load: 0 cases),,,
ILOG-00000045,FIR-VKT-2021-00002,FIR_FILED,2021-01-04T12:00:00,,FIR KA/VKT/2021/00002 registered at STN-KA-VKT-0005,,,
