:ID,:LABEL,name,rank,station_id
OFF-0000001,Officer,Vinay Gowda,Head Constable,STN-KA-BLR-0000
OFF-0000002,Officer,Naveen Raju,Head Constable,STN-KA-BLR-0000
OFF-0000003,Officer,Srikanth Aras,Sub-Inspector,STN-KA-BLR-0000
OFF-0000004,Officer,Satish Ayyar,Constable,STN-KA-BLR-0000
OFF-0000005,Officer,Gaurav Gowda,Constable,STN-KA-BLR-0000
OFF-0000006,Officer,Deepak Krishnamurthy,Head Constable,STN-KA-BLR-0000
OFF-0000007,Officer,Naveen Thakur,Constable,STN-KA-BLR-0000
OFF-0000008,Officer,Ajay Nambiar,Head Constable,STN-KA-BLR-0000
OFF-0000009,Officer,Srikanth Udupi,SP,STN-KA-BLR-0000
OFF-0000010,Officer,Sneha Thakur,Constable,STN-KA-BLR-0000
OFF-0000011,Officer,Arjun Lingayat,Constable,STN-KA-BLR-0000
OFF-0000012,Officer,Sujatha Prabhu,Constable,STN-KA-BLR-0000
OFF-0000013,Officer,Manjunath Murthy,Head Constable,STN-KA-BLR-0000
OFF-0000014,Officer,Madhu Kumar,Sub-Inspector,STN-KA-BLR-0001
OFF-0000015,Officer,Shivakumar Krishnamurthy,Sub-Inspector,STN-KA-BLR-0001
OFF-0000016,Officer,Sandeep Hegde,Constable,STN-KA-BLR-0001
OFF-0000017,Officer,Ganesh Reddy,ASI,STN-KA-BLR-0001
OFF-0000018,Officer,Ajay Thakur,Head Constable,STN-KA-BLR-0002
OFF-0000019,Officer,Rajesh Kumar,Inspector,STN-KA-BLR-0002
OFF-0000020,Officer,Nagaraj Desai,Head Constable,STN-KA-BLR-0002
OFF-0000021,Officer,Shantha Singh,Constable,STN-KA-BLR-0002
OFF-0000022,Officer,Shivakumar Reddy,Constable,STN-KA-BLR-0002
OFF-0000023,Officer,Kavitha Pillai,Constable,STN-KA-BLR-0002
OFF-0000024,Officer,Rohit Nayak,Constable,STN-KA-BLR-0002
OFF-0000025,Officer,Anita Desai,Constable,STN-KA-BLR-0003
OFF-0000026,Officer,Mohan Naik,Constable,STN-KA-BLR-0003
OFF-0000027,Officer,Shivakumar Raju,ASP,STN-KA-BLR-0003
OFF-0000028,Officer,Mohan Adiga,Sub-Inspector,STN-KA-BLR-0003
OFF-0000029,Officer,Ravi Shetty,Sub-Inspector,STN-KA-BLR-0003
OFF-0000030,Officer,Mahesh Shetty,Constable,STN-KA-BLR-0003
OFF-0000031,Officer,Yogesh Shastri,Head Constable,STN-KA-BLR-0003
OFF-0000032,Officer,Swathi Kumar,Constable,STN-KA-BLR-0003
