:ID,:LABEL,age,career_stage,district_id,expertise,gender,name,name_kn,risk_level,role
CRM-0000000,Person,49,experienced,KA-MGL,fraud,M,Naveen Rao,ಉಮೇಶ್ ಕುಮಾರ್,high,
CRM-0000001,Person,58,arrested,KA-BLR,property,M,Prashanth Gowda,ಆಕಾಶ್ ಕೃಷ್ಣಮೂರ್ತಿ,very_high,
CRM-0000002,Person,38,emerging,KA-KLP,property,F,Rekha Shastri,ಮಧು ನಂಬಿಯಾರ್,medium,
CRM-0000003,Person,47,experienced,KA-BLR,violent,M,Abhishek Murthy,ಮಂಜುನಾಥ್ ಅರಸ್,medium,
CRM-0000004,Person,47,active,KA-BLR,property,M,Kiran Patil,ದೀಪಕ್ ನಂಬಿಯಾರ್,low,
CRM-0000005,Person,21,emerging,KA-DVG,violent,M,Prashanth Hegde,ನವೀನ್ ಪಾಟೀಲ್,high,
CRM-0000006,Person,65,emerging,KA-BLR,property,F,Vidya Aras,ಸಂಗೀತಾ ರೆಡ್ಡಿ,low,
CRM-0000007,Person,25,experienced,KA-RBG,opportunistic,M,Harsh Tantri,ಬಸವರಾಜ್ ನಂಬಿಯಾರ್,medium,
CRM-0000008,Person,55,arrested,KA-MGL,violent,F,Deepa Thakur,ಭಾರತಿ ನಾಯ್ಕ್,low,
CRM-0000009,Person,50,emerging,KA-MGL,violent,F,Priya Kamath,ವಿದ್ಯಾ ಅಯ್ಯರ್,very_high,
CRM-0000010,Person,51,experienced,KA-BLR,fraud,M,Manjunath Aras,ಕಿರಣ್ ಶೆಟ್ಟಿ,low,
CRM-0000011,Person,23,active,KA-BLR,property,M,Srikanth Kumar,ಸುರೇಶ್ ಕೃಷ್ಣಮೂರ್ತಿ,high,
CRM-0000012,Person,59,active,KA-UDR,opportunistic,M,Ajay Adiga,ಕಿರಣ್ ಭಟ್,medium,
CRM-0000013,Person,63,active,KA-MGL,violent,M,Manjunath Patil,ನಾಗರಾಜ್ ರಾವ್,medium,
CRM-0000014,Person,36,juvenile,KA-BLR,narcotics,M,Ramesh Udupi,ಅರ್ಜುನ್ ರೆಡ್ಡಿ,medium,
CRM-0000015,Person,27,active,KA-HBL,opportunistic,M,Sandeep Swamy,ಅನಿಲ್ ರಾವ್,medium,
CRM-0000016,Person,43,active,KA-RBG,property,F,Seeta Adiga,ಸ್ನೇಹಾ ತಂತ್ರಿ,low,
CRM-0000017,Person,55,notorious,KA-BLG,violent,M,Kiran Tantri,ಪ್ರಶಾಂತ್ ದೇಸಾಯಿ,medium,
CRM-0000018,Person,63,active,KA-BLG,property,M,Prakash Adiga,ಶಿವಕುಮಾರ್ ಅಯ್ಯರ್,low,
CRM-0000019,Person,36,notorious,KA-HBL,property,M,Umesh Gowda,ರಾಜೇಶ್ ಕುಮಾರ್,very_high,
CRM-0000020,Person,19,notorious,KA-UDR,violent,F,Saritha Thakur,ಭಾರತಿ ಸ್ವಾಮಿ,medium,
CRM-0000021,Person,20,juvenile,KA-BLR2,violent,M,Manjunath Thakur,ಪ್ರಕಾಶ್ ಹೆಗಡೆ,very_high,
CRM-0000022,Person,29,experienced,KA-BLR,fraud,M,Anil Patil,ಅರ್ಜುನ್ ಅಡಿಗ,low,
CRM-0000023,Person,25,retired,KA-SHV,property,F,Jyothi Shetty,ಲಕ್ಷ್ಮಿ ನಂಬಿಯಾರ್,low,
CRM-0000024,Person,17,retired,KA-BLR2,violent,M,Yogesh Aras,ಸತೀಶ್ ಕಾಮತ್,medium,
CRM-0000025,Person,68,active,KA-BLR,opportunistic,M,Akash Verma,ಉಮೇಶ್ ಸ್ವಾಮಿ,medium,
CRM-0000026,Person,29,active,KA-BLR-R,violent,F,Sujatha Desai,ದೀಪಾ ಲಿಂಗಾಯತ್,high,
CRM-0000027,Person,62,retired,KA-BLR,fraud,F,Kavitha Vokkaliga,ನಿರ್ಮಲಾ ಹೆಗಡೆ,low,
CRM-0000028,Person,63,arrested,KA-BLR,property,F,Nitya Naik,ಸುಜಾತಾ ಶಾಸ್ತ್ರಿ,low,
CRM-0000029,Person,54,arrested,KA-KLP,fraud,M,Anil Reddy,ನವೀನ್ ದೇಸಾಯಿ,very_high,
CRM-0000030,Person,70,active,KA-BLR,property,M,Ganesh Sharma,ಆಕಾಶ್ ಅಯ್ಯರ್,high,
CRM-0000031,Person,30,arrested,KA-BLR2,fraud,F,Nitya Patil,ರಾಧಾ ಕುಮಾರ್,medium,
CRM-0000032,Person,45,arrested,KA-MGL,property,M,Raghavendra Gowda,ಶಿವಕುಮಾರ್ ಅಡಿಗ,medium,
CRM-0000033,Person,74,active,KA-UDR,property,F,Vidya Shastri,ವಿದ್ಯಾ ರಾವ್,very_high,
CRM-0000034,Person,18,notorious,KA-MGL,property,M,Akash Prabhu,ಶ್ರೀಕಾಂತ್ ಲಿಂಗಾಯತ್,high,
CRM-0000035,Person,50,experienced,KA-RBG,violent,M,Deepak Thakur,ನವೀನ್ ಜೋಶಿ,medium,
CRM-0000036,Person,65,experienced,KA-BLR,fraud,F,Deepa Thakur,ಸ್ನೇಹಾ ಶೆಟ್ಟಿ,low,
CRM-0000037,Person,33,experienced,KA-BLG,violent,F,Jyothi Aras,ಸ್ವಾತಿ ನಾಯ್ಕ್,high,
CRM-0000038,Person,63,experienced,KA-BLR,property,M,Rajesh Thakur,ಪ್ರಶಾಂತ್ ಅಡಿಗ,medium,
CRM-0000039,Person,37,emerging,KA-BLR,violent,M,Raghavendra Reddy,ಯೋಗೇಶ್ ಅಯ್ಯರ್,medium,
CRM-0000040,Person,37,active,KA-MDY,violent,F,Suma Shastri,ನಿತ್ಯಾ ಉಡುಪ,high,
CRM-0000041,Person,36,notorious,KA-MDY,property,F,Anita Pillai,ಶಾಂತಾ ತಂತ್ರಿ,medium,
CRM-0000042,Person,23,experienced,KA-BLG,narcotics,M,Ramesh Nayak,ನವೀನ್ ಅರಸ್,low,
CRM-0000043,Person,54,emerging,KA-RBG,property,M,Ganesh Nambiar,ನವೀನ್ ಅಡಿಗ,high,
CRM-0000044,Person,71,experienced,KA-BLR2,fraud,F,Saritha Nayak,ಲಕ್ಷ್ಮಿ ಮೂರ್ತಿ,low,
CRM-0000045,Person,17,juvenile,KA-BLR,violent,F,Anjali Rao,ಕವಿತಾ ಅರಸ್,very_high,
CRM-0000046,Person,19,active,KA-BLG,property,F,Seeta Lingayat,ಅಂಜಲಿ ಭಟ್,medium,
CRM-0000047,Person,31,emerging,KA-DVG,opportunistic,M,Deepak Krishnamurthy,ಶಿವಕುಮಾರ್ ಭಟ್,high,
CRM-0000048,Person,59,active,KA-BLR,property,M,Abhishek Verma,ತೇಜಸ್ ಗೌಡ,low,
CRM-0000049,Person,25,experienced,KA-RMN,fraud,M,Ravi Nayak,ಮಹೇಶ್ ನಾಯ್ಕ್,high,
CRM-0000050,Person,71,emerging,KA-BLR,violent,M,Arjun Thakur,ಅಭಿಷೇಕ್ ಉಡುಪ,medium,
CRM-0000051,Person,41,experienced,KA-KLR,fraud,M,Ajay Joshi,ಮೋಹನ್ ಮೂರ್ತಿ,medium,
CRM-0000052,Person,22,juvenile,KA-RBG,property,M,Deepak Reddy,ತೇಜಸ್ ವೊಕ್ಕಲಿಗ,low,
CRM-0000053,Person,27,active,KA-BLR,property,F,Sneha Singh,ಸುಜಾತಾ ದೇಸಾಯಿ,low,
CRM-0000054,Person,19,emerging,KA-BLR2,violent,M,Rajesh Pillai,ರೋಹಿತ್ ವೊಕ್ಕಲಿಗ,low,
CRM-0000055,Person,25,experienced,KA-RBG,fraud,M,Vikram Bhat,ಕಿರಣ್ ಲಿಂಗಾಯತ್,high,
CRM-0000056,Person,25,active,KA-TKR,opportunistic,F,Shruthi Kumar,ಅಮಲಾ ಸ್ವಾಮಿ,medium,
CRM-0000057,Person,22,experienced,KA-CTV,property,M,Rohit Aras,ಯೋಗೇಶ್ ಶೆಟ್ಟಿ,very_high,
CRM-0000058,Person,47,active,KA-UDR,fraud,F,Amala Shastri,ರೇಖಾ ಲಿಂಗಾಯತ್,medium,
CRM-0000059,Person,24,experienced,KA-SHV,violent,M,Tejas Rao,ಶಿವಕುಮಾರ್ ಅಯ್ಯರ್,low,
CRM-0000060,Person,61,active,KA-YDG,fraud,F,Geetha Shastri,ಪೂಜಾ ರಾವ್,medium,
CRM-0000061,Person,52,emerging,KA-CKM,violent,M,Prakash Raju,ಗಣೇಶ್ ಅಡಿಗ,medium,
CRM-0000062,Person,32,notorious,KA-CHB,property,F,Shruthi Shetty,ನಿತ್ಯಾ ಶಾಸ್ತ್ರಿ,medium,
CRM-0000063,Person,40,active,KA-BLR,narcotics,M,Yogesh Kumar,ರಾಮೇಶ್ ಲಿಂಗಾಯತ್,very_high,
CRM-0000064,Person,18,notorious,KA-VKT,violent,M,Arjun Shastri,ಮಹೇಶ್ ರಾವ್,medium,
CRM-0000065,Person,71,active,KA-BLR,property,M,Kiran Nambiar,ಗಣೇಶ್ ಜೋಶಿ,high,
CRM-0000066,Person,64,emerging,KA-KLP,fraud,F,Amala Murthy,ಸಂಗೀತಾ ಜೋಶಿ,high,
CRM-0000067,Person,25,experienced,KA-BLR,violent,F,Sujatha Murthy,ದೀಪಾ ವೊಕ್ಕಲಿಗ,medium,
CRM-0000068,Person,37,experienced,KA-BLR,property,M,Manjunath Krishnamurthy,ಅಭಿಷೇಕ್ ಕಾಮತ್,low,
CRM-0000069,Person,31,active,KA-CHB,narcotics,M,Umesh Pillai,ಶ್ರೀಕಾಂತ್ ಕುಮಾರ್,low,
CRM-0000070,Person,56,active,KA-BSD,property,F,Suma Vokkaliga,ಕವಿತಾ ಅಡಿಗ,low,
