officer_id,badge_number,name_en,gender,rank,rank_level,rank_abbr,station_id,district_id,district_name,phone,doj,tenure_years,shift,specialization,is_investigating_officer,is_station_house_officer
OFF-0000001,KSP/BLR/000001,Deepa Swamy,F,Head Constable,2,HC,STN-KA-BLR-0000,KA-BLR,Bengaluru Urban,8029314411,2019-08-19,6,night_2200_0600,cyber_crime,false,false
OFF-0000002,KSP/BLR/000002,Srikanth Bhat,M,Constable,1,PC,STN-KA-BLR-0000,KA-BLR,Bengaluru Urban,7657676791,2012-10-14,13,morning_0600_1400,traffic,false,false
OFF-0000003,KSP/BLR/000003,Prashanth Raju,M,Constable,1,PC,STN-KA-BLR-0000,KA-BLR,Bengaluru Urban,7479746354,2012-10-22,13,morning_0600_1400,sb_intelligence,false,false
OFF-0000004,KSP/BLR/000004,Mahesh Prabhu,M,Constable,1,PC,STN-KA-BLR-0000,KA-BLR,Bengaluru Urban,9371168992,2019-10-02,6,morning_0600_1400,anti_corruption,false,false
OFF-0000005,KSP/BLR/000005,Prashanth Shetty,M,ASI,2,APSI,STN-KA-BLR-0000,KA-BLR,Bengaluru Urban,8718795816,2020-11-16,5,night_2200_0600,traffic,true,false
OFF-0000006,KSP/BLR/000006,Nirmala Patil,F,Constable,1,PC,STN-KA-BLR-0000,KA-BLR,Bengaluru Urban,6717132074,2019-11-27,6,afternoon_1400_2200,women_cell,false,false
OFF-0000007,KSP/BLR/000007,Tejas Vokkaliga,M,Head Constable,2,HC,STN-KA-BLR-0000,KA-BLR,Bengaluru Urban,7642991660,2004-11-28,21,night_2200_0600,women_cell,false,false
OFF-0000008,KSP/BLR/000008,Ravi Desai,M,Head Constable,2,HC,STN-KA-BLR-0000,KA-BLR,Bengaluru Urban,9428062007,2008-11-08,17,general_0900_1800,traffic,false,false
OFF-0000009,KSP/BLR/000009,Deepak Joshi,M,Constable,1,PC,STN-KA-BLR-0000,KA-BLR,Bengaluru Urban,9753221862,2018-01-31,8,afternoon_1400_2200,traffic,false,false
OFF-0000010,KSP/BLR/000010,Anita Joshi,F,Constable,1,PC,STN-KA-BLR-0000,KA-BLR,Bengaluru Urban,8830003588,2011-10-25,14,afternoon_1400_2200,sb_intelligence,false,false
