citizen_id,name_en,name_kn,first_name_en,last_name_en,gender,dob,age,aadhaar,dl_number,phone_primary,phone_secondary,occupation,socioeconomic_class,religion,caste,education,district_id,district_name,taluk,station_id,home_lat,home_lng,home_address,bank_account,upi_id,is_migrant
CIT-00000000,Abhishek Kamath,ವಿಕ್ರಮ್ ಮೂರ್ತಿ,Abhishek,Kamath,M,1994-12-16,31,456964113507,KA1820218547724,6559227702,9049769799,Government Employee,BPL,Hindu,ST,High School,KA-BLR,Bengaluru Urban,Bengaluru East,STN-KA-BLR-0023,12.911165,77.666128,"No. 161, Main Road, Bengaluru East, Bengaluru Urban - 583342",6499672763396800,6559227702@upi,false
CIT-00000001,Rajesh Murthy,ಬಸವರಾಜ್ ಗೌಡ,Rajesh,Murthy,M,1978-05-31,48,869744697071,,7381433161,,Engineer,middle,Hindu,OBC,Post Graduate,KA-BLR2,Ballari,Sandur,STN-KA-BLR2-0017,15.002274,76.515638,"No. 165, Nagar, Sandur, Ballari - 584179",98951115787,7381433161@paytm,false
CIT-00000002,Anjali Kamath,ಶಾಂತಾ ರಾವ್,Anjali,Kamath,F,1965-11-03,60,911784440027,KA2820056989063,7714787508,,Business Person,middle,Buddhist,General,Post Graduate,KA-MYS,Mysuru,Mysuru,STN-KA-MYS-0004,12.097216,76.918927,"No. 309, 1st Stage, Mysuru, Mysuru - 571140",,,false
CIT-00000003,Abhishek Raju,ಅಭಿಷೇಕ್ ಕೃಷ್ಣಮೂರ್ತಿ,Abhishek,Raju,M,1970-05-30,56,652733188156,KA0720188351011,6827734774,,Mechanic,lower_middle,Muslim,SC,Illiterate,KA-MGL,Dakshina Kannada,Belthangady,STN-KA-MGL-0013,12.776526,75.477649,"No. 329, Main Road, Belthangady, Dakshina Kannada - 580233",54135455797079,,false
CIT-00000004,Seeta Lingayat,ಜ್ಯೋತಿ ಪಾಟೀಲ್,Seeta,Lingayat,F,1997-12-20,28,451774856526,KA2220166736629,6298567240,,Driver,lower,Sikh,SC,Primary,KA-BLR,Bengaluru Urban,Bengaluru South,STN-KA-BLR-0014,12.994611,77.773449,"No. 208, Main Road, Bengaluru South, Bengaluru Urban - 589989",2437428220220,6298567240@upi,false
CIT-00000005,Rekha Patil,ಸ್ವಾತಿ ಕಾಮತ್,Rekha,Patil,F,1974-08-28,51,645236494110,KA2320086633895,6093219569,7205065069,Electrician,middle,Buddhist,OBC,Post Graduate,KA-UDR,Udupi,Udupi,STN-KA-UDR-0005,13.237666,74.667745,"No. 357, Layout, Udupi, Udupi - 580646",20896760406,6093219569@upi,false
CIT-00000006,Swathi Aras,ಪೂಜಾ ರೆಡ್ಡಿ,Swathi,Aras,F,1987-04-09,39,567428601767,,7070431077,7228749958,Engineer,BPL,Hindu,ST,Primary,KA-BLR,Bengaluru Urban,Bengaluru North,STN-KA-BLR-0004,13.178668,77.629255,"No. 490, Cross Street, Bengaluru North, Bengaluru Urban - 592942",,,false
CIT-00000007,Harsh Murthy,ನಾಗರಾಜ್ ಹೆಗಡೆ,Harsh,Murthy,M,1964-01-13,62,648968460412,KA3820124139279,7775044806,,Unemployed,middle,Hindu,SC,High School,KA-RMN,Ramanagara,Channapatna,STN-KA-RMN-0009,12.960829,77.666586,"No. 425, Nagar, Channapatna, Ramanagara - 562280",16554279339970,harshmur@ybl,false
CIT-00000008,Rohit Udupi,ಗಣೇಶ್ ರೆಡ್ಡಿ,Rohit,Udupi,M,1958-11-20,67,556237246456,,9702967050,,Auto Driver,middle,Buddhist,Lingayat,Primary,KA-RBG,Dharwad,Hubballi,STN-KA-RBG-0013,15.369133,74.979161,"No. 207, Layout, Hubballi, Dharwad - 564671",48511990656,,false
CIT-00000009,Sangeetha Nayak,ಶಾಂತಾ ನಾಯ್ಕ್,Sangeetha,Nayak,F,1959-05-12,67,817657224588,KA3220159026334,7292538418,,Tailor,lower,Muslim,Others,Diploma,KA-BLR,Bengaluru Urban,Yelahanka,STN-KA-BLR-0039,13.008351,77.728501,"No. 224, Layout, Yelahanka, Bengaluru Urban - 560921",,,false
