phone_id,owner_id,phone_number,provider,type,is_burner
PHN-00000000,CIT-00000000,7903856178,BSNL,smartphone,false
PHN-00000001,CIT-00000001,6513429490,Vi,feature_phone,false
PHN-00000002,CIT-00000002,8035261914,Vi,smartphone,false
PHN-00000003,CIT-00000003,7157274149,Airtel,smartphone,false
PHN-00000004,CIT-00000004,9652561420,BSNL,smartphone,false
PHN-00000005,CIT-00000007,9230707927,Airtel,smartphone,false
PHN-00000006,CIT-00000008,6484823351,Vi,smartphone,false
PHN-00000007,CIT-00000009,6039546627,Airtel,feature_phone,false
PHN-00000008,CIT-00000012,7109732221,Jio,smartphone,false
PHN-00000009,CIT-00000013,7689882034,Vi,smartphone,false
PHN-00000010,CIT-00000015,6279603718,BSNL,smartphone,false
PHN-00000011,CIT-00000017,7393985512,Jio,feature_phone,false
PHN-00000012,CIT-00000018,6532178753,Jio,smartphone,false
PHN-00000013,CIT-00000019,8449415611,Jio,feature_phone,false
PHN-00000014,CIT-00000020,6488770441,Jio,smartphone,false
PHN-00000015,CIT-00000021,6663582899,Vi,smartphone,false
PHN-00000016,CIT-00000022,6640987378,Airtel,smartphone,false
PHN-00000017,CIT-00000023,8971757765,Vi,smartphone,false
PHN-00000018,CIT-00000024,9166019178,Vi,smartphone,false
PHN-00000019,CIT-00000025,8560830607,Airtel,feature_phone,false
PHN-00000020,CIT-00000026,7772407725,Jio,smartphone,false
PHN-00000021,CIT-00000027,8982420590,Vi,smartphone,false
PHN-00000022,CIT-00000029,7012720567,Jio,feature_phone,false
PHN-00000023,CIT-00000030,7787976905,Jio,smartphone,false
PHN-00000024,CIT-00000031,8160963392,BSNL,smartphone,false
PHN-00000025,CIT-00000032,9729411290,Airtel,smartphone,false
PHN-00000026,CIT-00000034,8716365648,Vi,feature_phone,false
PHN-00000027,CIT-00000035,8099967032,Jio,feature_phone,false
PHN-00000028,CIT-00000036,6073835926,Airtel,smartphone,false
PHN-00000029,CIT-00000040,6257397378,Jio,smartphone,false
PHN-00000030,CIT-00000041,6438018607,Jio,smartphone,false
PHN-00000031,CIT-00000042,6915847360,BSNL,feature_phone,false
PHN-00000032,CIT-00000044,6510319963,Jio,feature_phone,false
PHN-00000033,CIT-00000045,8354332727,Airtel,smartphone,false
PHN-00000034,CIT-00000047,7279410104,Jio,smartphone,false
PHN-00000035,CIT-00000049,6615548121,Vi,smartphone,false
PHN-00000036,CIT-00000052,7258159987,Airtel,smartphone,false
PHN-00000037,CIT-00000054,8601051350,Jio,feature_phone,false
PHN-00000038,CIT-00000055,8672565876,BSNL,feature_phone,false
PHN-00000039,CIT-00000056,6504705636,Jio,smartphone,false
PHN-00000040,CIT-00000057,7877630249,BSNL,smartphone,false
PHN-00000041,CIT-00000058,9874411883,Vi,smartphone,false
PHN-00000042,CIT-00000059,8801232067,BSNL,smartphone,false
PHN-00000043,CIT-00000060,6642389492,BSNL,smartphone,false
PHN-00000044,CIT-00000061,7754164558,Jio,smartphone,false
PHN-00000045,CIT-00000062,8928997992,BSNL,feature_phone,false
PHN-00000046,CIT-00000063,8057341053,Jio,smartphone,false
PHN-00000047,CIT-00000064,7986295860,BSNL,smartphone,false
PHN-00000048,CIT-00000065,7484164438,Jio,smartphone,false
