victim_id,fir_id,name_en,gender,age,phone,address,injury_type,property_lost,loss_amount_inr,citizen_id
VIC-FIR-BLR2-2021-00001-000,FIR-BLR2-2021-00001,Shivakumar Shetty,M,65,7455564128,"No. 72, Main Road, Karnataka",none,cash,41042.62,
VIC-FIR-BLR2-2021-00001-001,FIR-BLR2-2021-00001,Prashanth Hegde,M,31,9876070116,"No. 163, Cross, Karnataka",none,vehicle,41042.62,
VIC-FIR-BLR2-2021-00001-002,FIR-BLR2-2021-00001,Prashanth Raju,M,22,7226331035,"No. 167, Layout, Karnataka",none,vehicle,20521.31,
VIC-FIR-RBG-2021-00001-000,FIR-RBG-2021-00001,Jyothi Prabhu,F,48,9171298578,"No. 52, Layout, Karnataka",none,gold_jewellery,1228319.98,
VIC-FIR-RBG-2021-00001-001,FIR-RBG-2021-00001,Priya Sharma,F,41,6237371947,"No. 38, Layout, Karnataka",none,vehicle,1228319.98,
VIC-FIR-RBG-2021-00001-002,FIR-RBG-2021-00001,Abhishek Singh,M,60,6206702347,"No. 142, Layout, Karnataka",none,none,614159.99,
VIC-FIR-KDG-2021-00001-000,FIR-KDG-2021-00001,Tejas Adiga,M,38,8856390735,"No. 197, Layout, Karnataka",none,none,1289085.86,
VIC-FIR-KDG-2021-00001-001,FIR-KDG-2021-00001,Seeta Aras,F,34,7915946340,"No. 17, Cross, Karnataka",none,cash,1289085.86,
VIC-FIR-HBL-2021-00001-000,FIR-HBL-2021-00001,Ajay Lingayat,M,74,8416499825,"No. 106, Cross, Karnataka",none,vehicle,7475.17,
VIC-FIR-HBL-2021-00001-001,FIR-HBL-2021-00001,Rohit Verma,M,21,6812382506,"No. 196, Cross, Karnataka",none,gold_jewellery,7475.17,
VIC-FIR-KLP-2021-00001-000,FIR-KLP-2021-00001,Rajesh Patil,M,51,6257089692,"No. 56, Layout, Karnataka",grievous,cash,26723.41,
VIC-FIR-RBG-2021-00002-000,FIR-RBG-2021-00002,Deepak Hegde,M,70,6570105808,"No. 70, Layout, Karnataka",none,cash,299.81,
